plot_code,day,month,year,subplot,LAI
BOB-01,3,6,2014,NA,4.57
BOB-01,3,6,2014,NA,4.76
BOB-01,3,6,2014,NA,4.36
BOB-01,3,6,2014,NA,4.85
BOB-01,3,6,2014,NA,5.02
BOB-01,3,6,2014,NA,4.46
BOB-01,3,6,2014,NA,4.22
BOB-01,3,6,2014,NA,4.03
BOB-01,2,7,2014,TRUE,4.32
BOB-01,2,7,2014,NA,3.94
BOB-01,2,7,2014,NA,3.94
BOB-01,2,7,2014,NA,3.62
BOB-01,2,7,2014,NA,4.15
BOB-01,2,7,2014,NA,4.28
BOB-01,2,7,2014,NA,4.72
BOB-01,2,7,2014,NA,4.15
BOB-01,2,7,2014,NA,3.76
BOB-01,2,7,2014,NA,4.44
BOB-01,2,7,2014,NA,2.74
BOB-01,2,7,2014,NA,4
BOB-01,2,7,2014,NA,5.01
BOB-01,2,7,2014,NA,4.53
BOB-01,2,7,2014,NA,5.03
BOB-01,2,7,2014,NA,3.79
BOB-01,2,7,2014,NA,4.06
BOB-01,2,7,2014,NA,4.14
BOB-01,27,8,2014,TRUE,3.84
BOB-01,27,8,2014,NA,3.97
BOB-01,27,8,2014,NA,4.77
BOB-01,27,8,2014,NA,5.58
BOB-01,27,8,2014,NA,3.9
BOB-01,27,8,2014,NA,4.53
BOB-01,27,8,2014,NA,4.95
BOB-01,27,8,2014,NA,4.05
BOB-01,27,8,2014,NA,3.93
BOB-01,27,8,2014,NA,4.5
BOB-01,27,8,2014,NA,3.62
BOB-01,27,8,2014,NA,5.32
BOB-01,27,8,2014,NA,4.08
BOB-01,27,8,2014,NA,4.38
BOB-01,27,8,2014,NA,4.43
BOB-01,27,8,2014,NA,4.23
BOB-01,27,8,2014,NA,3.81
BOB-01,27,8,2014,NA,3.95
BOB-01,27,8,2014,NA,4.57
BOB-01,27,8,2014,NA,4.76
BOB-01,27,8,2014,NA,4.36
BOB-01,27,8,2014,NA,4.85
BOB-01,27,8,2014,NA,5.02
BOB-01,27,8,2014,NA,4.46
BOB-01,27,8,2014,NA,4.22
BOB-01,27,8,2014,NA,4.03
BOB-01,10,9,2014,TRUE,4.04
BOB-01,10,9,2014,NA,4.07
BOB-01,10,9,2014,NA,3.83
BOB-01,10,9,2014,NA,4.07
BOB-01,10,9,2014,NA,3.87
BOB-01,10,9,2014,NA,3.8
BOB-01,10,9,2014,NA,5.01
BOB-01,10,9,2014,NA,4.1
BOB-01,10,9,2014,NA,3.82
BOB-01,10,9,2014,NA,3.92
BOB-01,10,9,2014,NA,4.37
BOB-01,10,9,2014,NA,4
BOB-01,10,9,2014,NA,3.72
BOB-01,10,9,2014,NA,4.49
BOB-01,10,9,2014,NA,4.23
BOB-01,10,9,2014,NA,4.39
BOB-01,10,9,2014,NA,4.1
BOB-01,10,9,2014,NA,4.52
BOB-01,10,9,2014,NA,4.32
BOB-01,10,9,2014,NA,4.46
BOB-01,10,9,2014,NA,4.49
BOB-01,10,9,2014,NA,4.52
BOB-01,10,9,2014,NA,4.68
BOB-01,10,9,2014,NA,4.02
BOB-01,10,9,2014,NA,4.64
BOB-01,10,9,2014,NA,4.01
BOB-01,6,10,2014,TRUE,5.52
BOB-01,6,10,2014,NA,4.17
BOB-01,6,10,2014,NA,4.03
BOB-01,6,10,2014,NA,3.82
BOB-01,6,10,2014,NA,4.16
BOB-01,6,10,2014,NA,4.45
BOB-01,6,10,2014,NA,4.59
BOB-01,6,10,2014,NA,4.09
BOB-01,6,10,2014,NA,4.12
BOB-01,6,10,2014,NA,4.23
BOB-01,6,10,2014,NA,4.46
BOB-01,6,10,2014,NA,4.85
BOB-01,6,10,2014,NA,4.26
BOB-01,6,10,2014,NA,4.85
BOB-01,6,10,2014,NA,4.65
BOB-01,6,10,2014,NA,4.73
BOB-01,6,10,2014,NA,3.79
BOB-01,6,10,2014,NA,4.08
BOB-01,6,10,2014,NA,4.68
BOB-01,6,10,2014,NA,4.25
BOB-01,6,10,2014,NA,4.41
BOB-01,6,10,2014,NA,4.57
BOB-01,6,10,2014,NA,5.5
BOB-01,6,10,2014,NA,4.15
BOB-01,6,10,2014,NA,4.37
BOB-01,6,10,2014,NA,4.29
BOB-01,12,11,2014,TRUE,3.32
BOB-01,12,11,2014,NA,3.43
BOB-01,12,11,2014,NA,3.07
BOB-01,12,11,2014,NA,4.36
BOB-01,12,11,2014,NA,3.19
BOB-01,12,11,2014,NA,3.21
BOB-01,12,11,2014,NA,3.82
BOB-01,12,11,2014,NA,3.02
BOB-01,12,11,2014,NA,2.58
BOB-01,12,11,2014,NA,3.2
BOB-01,12,11,2014,NA,3.38
BOB-01,12,11,2014,NA,3.53
BOB-01,12,11,2014,NA,3.24
BOB-01,12,11,2014,NA,4.05
BOB-01,12,11,2014,NA,3.29
BOB-01,12,11,2014,NA,3.84
BOB-01,12,11,2014,NA,3.65
BOB-01,12,11,2014,NA,3.05
BOB-01,12,11,2014,NA,3.67
BOB-01,12,11,2014,NA,3.67
BOB-01,12,11,2014,NA,3.57
BOB-01,12,11,2014,NA,3.59
BOB-01,12,11,2014,NA,4.39
BOB-01,12,11,2014,NA,3.36
BOB-01,12,11,2014,NA,3.6
BOB-01,12,11,2014,NA,3.49
BOB-01,17,12,2014,TRUE,4.16
BOB-01,17,12,2014,NA,4.01
BOB-01,17,12,2014,NA,3.85
BOB-01,17,12,2014,NA,5.42
BOB-01,17,12,2014,NA,4.19
BOB-01,17,12,2014,NA,4.4
BOB-01,17,12,2014,NA,4.56
BOB-01,17,12,2014,NA,4.11
BOB-01,17,12,2014,NA,4.1
BOB-01,17,12,2014,NA,4.23
BOB-01,17,12,2014,NA,4.46
BOB-01,17,12,2014,NA,4.76
BOB-01,17,12,2014,NA,4.29
BOB-01,17,12,2014,NA,4.94
BOB-01,17,12,2014,NA,4.69
BOB-01,17,12,2014,NA,4.61
